Timestamp: 01-Oct-18 15:39:55  Flight 1: TEST2 | Flight 2: TEST1 | SeperationEvent status: Active
Timestamp: 20181108103850580  Flight 1: FIU415 | Flight 2: RWR583 | SeperationEvent status: Active
Timestamp: 20181108103850580  Flight 1: FIU415 | Flight 2: RWR583 | SeperationEvent status: Active
Timestamp: 20181108103745268  Flight 1: RWR583 | Flight 2: FIU415 | SeperationEvent status: Active
Timestamp: 20181108103850580  Flight 1: FIU415 | Flight 2: RWR583 | SeperationEvent status: Active
Timestamp: 20181108103745268  Flight 1: RWR583 | Flight 2: FIU415 | SeperationEvent status: Active
Timestamp: 20181108103850580  Flight 1: FIU415 | Flight 2: RWR583 | SeperationEvent status: Active
Timestamp: 20181108103745268  Flight 1: RWR583 | Flight 2: FIU415 | SeperationEvent status: Active
Timestamp: 20181108103850580  Flight 1: FIU415 | Flight 2: RWR583 | SeperationEvent status: Active
Timestamp: 20181108103745268  Flight 1: RWR583 | Flight 2: FIU415 | SeperationEvent status: Active
Timestamp: 20181108103850580  Flight 1: FIU415 | Flight 2: RWR583 | SeperationEvent status: Active
Timestamp: 20181108103745268  Flight 1: RWR583 | Flight 2: FIU415 | SeperationEvent status: Active
Timestamp: 20181108103850580  Flight 1: FIU415 | Flight 2: RWR583 | SeperationEvent status: Active
Timestamp: 20181108103745268  Flight 1: RWR583 | Flight 2: FIU415 | SeperationEvent status: Active
Timestamp: 20181108103850580  Flight 1: FIU415 | Flight 2: RWR583 | SeperationEvent status: Active
Timestamp: 20181108103745268  Flight 1: RWR583 | Flight 2: FIU415 | SeperationEvent status: Active
Timestamp: 20181108103850580  Flight 1: FIU415 | Flight 2: RWR583 | SeperationEvent status: Active
Timestamp: 20181108103745268  Flight 1: RWR583 | Flight 2: FIU415 | SeperationEvent status: Active
Timestamp: 20181108103850580  Flight 1: FIU415 | Flight 2: RWR583 | SeperationEvent status: Active
Timestamp: 20181108103745268  Flight 1: RWR583 | Flight 2: FIU415 | SeperationEvent status: Active
